id,timestamp,x,y,z
1815483,2025-03-09 11:56:11.28,-0.118429,0.0643206,0.010756
1815485,2025-03-09 11:56:11.28,-0.118429,0.0643206,0.010756
1815486,2025-03-09 11:56:11.28,-0.118429,0.0643206,0.010756
1815482,2025-03-09 11:56:11.28,-0.118429,0.0643206,0.010756
1815484,2025-03-09 11:56:11.28,-0.118429,0.0643206,0.010756
1815487,2025-03-09 11:56:11.285,-0.118429,0.0643206,0.103666
1815488,2025-03-09 11:56:11.285,-0.0949261,0.029892,0.103666
1815489,2025-03-09 11:56:11.285,-0.0949261,0.029892,0.103666
1815490,2025-03-09 11:56:11.285,-0.0949261,0.029892,0.103666
1815491,2025-03-09 11:56:11.285,-0.0949261,0.029892,0.103666
1815492,2025-03-09 11:56:11.285,-0.0949261,0.029892,0.103666
1815493,2025-03-09 11:56:11.29,-0.0773147,-0.0136361,0.174354
1815494,2025-03-09 11:56:11.29,-0.0773147,-0.0136361,0.174354
1815495,2025-03-09 11:56:11.29,-0.0773147,-0.0136361,0.174354
1815496,2025-03-09 11:56:11.29,-0.0773147,-0.0136361,0.174354
1815497,2025-03-09 11:56:11.29,-0.0773147,-0.0136361,0.174354
1815502,2025-03-09 11:56:11.295,-0.0663625,-0.0402203,0.254004
1815498,2025-03-09 11:56:11.295,-0.0663625,-0.0402203,0.254004
1815499,2025-03-09 11:56:11.295,-0.0663625,-0.0402203,0.254004
1815500,2025-03-09 11:56:11.295,-0.0663625,-0.0402203,0.254004
1815501,2025-03-09 11:56:11.295,-0.0663625,-0.0402203,0.254004
1815504,2025-03-09 11:56:11.3,-0.0404238,-0.068059,0.332073
1815505,2025-03-09 11:56:11.3,-0.0404238,-0.068059,0.332073
1815506,2025-03-09 11:56:11.3,-0.0404238,-0.068059,0.332073
1815503,2025-03-09 11:56:11.3,-0.0404238,-0.068059,0.332073
1815507,2025-03-09 11:56:11.3,-0.0404238,-0.068059,0.332073
1815508,2025-03-09 11:56:11.3,-0.0404238,-0.068059,0.332073
1815512,2025-03-09 11:56:11.305,-0.0103306,-0.117542,0.418249
1815509,2025-03-09 11:56:11.305,-0.0103306,-0.117542,0.418249
1815510,2025-03-09 11:56:11.305,-0.0103306,-0.117542,0.418249
1815511,2025-03-09 11:56:11.305,-0.0103306,-0.117542,0.418249
1815513,2025-03-09 11:56:11.305,-0.0103306,-0.117542,0.418249
1815514,2025-03-09 11:56:11.305,-0.0103306,-0.117542,0.418249
1815518,2025-03-09 11:56:11.31,-0.0104614,-0.157967,0.480701
1815521,2025-03-09 11:56:11.31,-0.0104614,-0.157967,0.480701
1815517,2025-03-09 11:56:11.31,-0.0104614,-0.157967,0.480701
1815515,2025-03-09 11:56:11.31,-0.0104614,-0.157967,0.480701
1815519,2025-03-09 11:56:11.31,-0.0104614,-0.157967,0.480701
1815520,2025-03-09 11:56:11.31,-0.0104614,-0.157967,0.480701
1815516,2025-03-09 11:56:11.311,-0.0104614,-0.157967,0.480701
1815523,2025-03-09 11:56:11.315,0.00210533,-0.197902,0.51384
1815522,2025-03-09 11:56:11.315,0.00210533,-0.197902,0.51384
1815524,2025-03-09 11:56:11.315,0.00210533,-0.197902,0.51384
1815525,2025-03-09 11:56:11.315,0.00210533,-0.197902,0.51384
1815526,2025-03-09 11:56:11.315,0.00210533,-0.197902,0.51384
1815527,2025-03-09 11:56:11.315,0.00210533,-0.197902,0.51384
1815528,2025-03-09 11:56:11.319,0.00807711,-0.238717,0.538229
1815529,2025-03-09 11:56:11.319,0.00807711,-0.238717,0.538229
1815531,2025-03-09 11:56:11.319,0.00807711,-0.238717,0.538229
1815533,2025-03-09 11:56:11.319,0.00807711,-0.238717,0.538229
1815534,2025-03-09 11:56:11.319,0.00807711,-0.238717,0.538229
1815530,2025-03-09 11:56:11.319,0.00807711,-0.238717,0.538229
1815532,2025-03-09 11:56:11.319,0.00807711,-0.238717,0.538229
1815539,2025-03-09 11:56:11.324,0.0131628,-0.262615,0.505281
1815536,2025-03-09 11:56:11.324,0.0131628,-0.262615,0.505281
1815537,2025-03-09 11:56:11.324,0.0131628,-0.262615,0.505281
1815538,2025-03-09 11:56:11.324,0.0131628,-0.262615,0.505281
1815535,2025-03-09 11:56:11.324,0.0131628,-0.262615,0.505281
1815545,2025-03-09 11:56:11.329,0.0301832,-0.269693,0.426113
1815540,2025-03-09 11:56:11.329,0.0131628,-0.262615,0.426113
1815541,2025-03-09 11:56:11.329,0.0301832,-0.269693,0.426113
1815542,2025-03-09 11:56:11.329,0.0301832,-0.269693,0.426113
1815543,2025-03-09 11:56:11.329,0.0301832,-0.269693,0.426113
1815544,2025-03-09 11:56:11.329,0.0301832,-0.269693,0.426113
1815546,2025-03-09 11:56:11.329,0.0301832,-0.269693,0.426113
1815547,2025-03-09 11:56:11.329,0.0301832,-0.269693,0.426113
1815549,2025-03-09 11:56:11.334,0.0469719,-0.262228,0.2926
1815551,2025-03-09 11:56:11.334,0.0469719,-0.262228,0.2926
1815552,2025-03-09 11:56:11.334,0.0469719,-0.262228,0.2926
1815553,2025-03-09 11:56:11.334,0.0469719,-0.262228,0.2926
1815548,2025-03-09 11:56:11.334,0.0469719,-0.262228,0.2926
1815550,2025-03-09 11:56:11.335,0.0469719,-0.262228,0.2926
1815559,2025-03-09 11:56:11.339,0.0561075,-0.2282,0.129893
1815554,2025-03-09 11:56:11.339,0.0561075,-0.2282,0.129893
1815555,2025-03-09 11:56:11.339,0.0561075,-0.2282,0.129893
1815556,2025-03-09 11:56:11.339,0.0561075,-0.2282,0.129893
1815557,2025-03-09 11:56:11.339,0.0561075,-0.2282,0.129893
