id,timestamp,x,y,z
468120,2024-12-13 15:24:18.648,-0.0451359,-0.323308,-0.490205
468119,2024-12-13 15:24:18.648,-0.0451359,-0.323308,-0.490205
468118,2024-12-13 15:24:18.648,-0.0451359,-0.323308,-0.490205
468122,2024-12-13 15:24:18.653,-0.0851607,-0.325452,-0.539201
468123,2024-12-13 15:24:18.653,-0.0851607,-0.325452,-0.539201
468121,2024-12-13 15:24:18.653,-0.0851607,-0.325452,-0.539201
468124,2024-12-13 15:24:18.657,-0.119631,-0.331296,-0.577217
468125,2024-12-13 15:24:18.657,-0.119631,-0.331296,-0.577217
468126,2024-12-13 15:24:18.657,-0.119631,-0.331296,-0.577217
468127,2024-12-13 15:24:18.662,-0.140619,-0.33612,-0.607862
468128,2024-12-13 15:24:18.667,-0.165113,-0.354416,-0.606085
468130,2024-12-13 15:24:18.672,-0.176465,-0.389805,-0.593445
468129,2024-12-13 15:24:18.672,-0.176465,-0.389805,-0.593445
468131,2024-12-13 15:24:18.672,-0.176465,-0.389805,-0.593445
468132,2024-12-13 15:24:18.672,-0.176465,-0.389805,-0.593445
468133,2024-12-13 15:24:18.676,-0.166341,-0.40424,-0.535371
468134,2024-12-13 15:24:18.676,-0.166341,-0.40424,-0.535371
468135,2024-12-13 15:24:18.676,-0.166341,-0.40424,-0.535371
468136,2024-12-13 15:24:18.676,-0.166341,-0.40424,-0.535371
468137,2024-12-13 15:24:18.676,-0.166341,-0.40424,-0.535371
468138,2024-12-13 15:24:18.681,-0.159635,-0.424219,-0.480851
468139,2024-12-13 15:24:18.681,-0.159635,-0.424219,-0.480851
468140,2024-12-13 15:24:18.681,-0.159635,-0.424219,-0.480851
468141,2024-12-13 15:24:18.681,-0.159635,-0.424219,-0.480851
468142,2024-12-13 15:24:18.681,-0.159635,-0.424219,-0.480851
468143,2024-12-13 15:24:18.686,-0.16673,-0.441685,-0.388039
468144,2024-12-13 15:24:18.686,-0.16673,-0.441685,-0.388039
468145,2024-12-13 15:24:18.686,-0.16673,-0.441685,-0.388039
468146,2024-12-13 15:24:18.686,-0.16673,-0.441685,-0.388039
468147,2024-12-13 15:24:18.686,-0.16673,-0.441685,-0.388039
468148,2024-12-13 15:24:18.69,-0.181143,-0.464136,-0.297482
468149,2024-12-13 15:24:18.69,-0.181143,-0.464136,-0.297482
468150,2024-12-13 15:24:18.69,-0.181143,-0.464136,-0.297482
468152,2024-12-13 15:24:18.69,-0.181143,-0.464136,-0.297482
468151,2024-12-13 15:24:18.69,-0.181143,-0.464136,-0.297482
468155,2024-12-13 15:24:18.695,-0.216772,-0.508531,-0.230509
468156,2024-12-13 15:24:18.695,-0.216772,-0.508531,-0.230509
468158,2024-12-13 15:24:18.695,-0.216772,-0.508531,-0.230509
468157,2024-12-13 15:24:18.695,-0.216772,-0.508531,-0.230509
