id,timestamp,x,y,z
721666,2025-01-31 18:04:21.467,-0.0279068,0.0490487,-0.107547
721667,2025-01-31 18:04:21.472,-0.0831514,0.0723925,-0.0919209
721668,2025-01-31 18:04:21.477,-0.105392,0.108186,-0.0791721
721669,2025-01-31 18:04:21.481,-0.105392,0.14442,-0.0353804
721670,2025-01-31 18:04:21.486,-0.146617,0.160225,0.0200357
721671,2025-01-31 18:04:21.486,-0.146617,0.160225,0.0200357
721672,2025-01-31 18:04:21.491,-0.195872,0.204009,0.0903521
721673,2025-01-31 18:04:21.491,-0.195872,0.204009,0.0903521
721674,2025-01-31 18:04:21.495,-0.238352,0.207402,0.132084
721675,2025-01-31 18:04:21.5,-0.246471,0.226183,0.191556
721676,2025-01-31 18:04:21.504,-0.264494,0.226246,0.268383
721677,2025-01-31 18:04:21.504,-0.264494,0.226246,0.268383
721678,2025-01-31 18:04:21.51,-0.267593,0.25477,0.351726
721679,2025-01-31 18:04:21.514,-0.288752,0.261836,0.467313
721680,2025-01-31 18:04:21.519,-0.280456,0.257031,0.549038
721681,2025-01-31 18:04:21.523,-0.261943,0.253442,0.642223
721683,2025-01-31 18:04:21.528,-0.201443,0.263717,0.68933
721682,2025-01-31 18:04:21.528,-0.201443,0.263717,0.68933
721684,2025-01-31 18:04:21.538,-0.110309,0.325032,0.626648
721685,2025-01-31 18:04:21.538,-0.026704,0.381198,0.626648
721686,2025-01-31 18:04:21.542,0.0247797,0.418267,0.491094
721687,2025-01-31 18:04:21.547,0.0468886,0.45428,0.320899
721688,2025-01-31 18:04:21.552,0.0657298,0.496182,0.10957
721689,2025-01-31 18:04:21.556,0.0951479,0.555747,-0.101202
721690,2025-01-31 18:04:21.561,0.0951479,0.555747,-0.101202
721691,2025-01-31 18:04:21.561,0.13699,0.600098,-0.342216
721692,2025-01-31 18:04:21.566,0.185938,0.638102,-0.586148
721693,2025-01-31 18:04:21.571,0.174866,0.6668,-0.784996
721694,2025-01-31 18:04:21.576,0.0832159,0.701558,-0.803154
721695,2025-01-31 18:04:21.58,0.0636058,0.759783,-0.741311
721696,2025-01-31 18:04:21.584,0.145086,0.831684,-0.743177
721697,2025-01-31 18:04:21.59,0.290168,0.93477,-0.803
721698,2025-01-31 18:04:21.594,0.387117,0.99344,-0.902273
721699,2025-01-31 18:04:21.598,0.363609,1.04182,-1.02993
721701,2025-01-31 18:04:21.608,0.266796,1.08201,-1.01723
721700,2025-01-31 18:04:21.608,0.266796,1.08201,-1.01723
721702,2025-01-31 18:04:21.613,0.243591,1.10065,-0.902146
721703,2025-01-31 18:04:21.617,0.221558,1.10301,-0.706861
721704,2025-01-31 18:04:21.623,0.226784,1.06695,-0.476105
721705,2025-01-31 18:04:21.627,0.227116,1.01054,-0.213783
721706,2025-01-31 18:04:21.627,0.227116,1.01054,-0.213783
721707,2025-01-31 18:04:21.632,0.236897,0.969406,0.0892258
721708,2025-01-31 18:04:21.637,0.238392,0.900483,0.40071
721709,2025-01-31 18:04:21.641,0.214983,0.865575,0.695872
721710,2025-01-31 18:04:21.641,0.214983,0.865575,0.695872
721711,2025-01-31 18:04:21.646,0.152427,0.857166,0.992751
721712,2025-01-31 18:04:21.65,0.0769058,0.818954,1.25023
721713,2025-01-31 18:04:21.656,-0.00421004,0.777138,1.47724
721714,2025-01-31 18:04:21.66,-0.0585716,0.722792,1.71816
721715,2025-01-31 18:04:21.665,-0.0343053,0.704065,1.96474
721716,2025-01-31 18:04:21.665,-0.0343053,0.704065,1.96474
721717,2025-01-31 18:04:21.67,0.0192329,0.699885,2.20766
721718,2025-01-31 18:04:21.674,0.0333668,0.716766,2.3916
721719,2025-01-31 18:04:21.679,0.0837313,0.77027,2.55535
721721,2025-01-31 18:04:21.683,0.145175,0.806439,2.63189
721720,2025-01-31 18:04:21.684,0.0837313,0.806439,2.63189
721722,2025-01-31 18:04:21.689,0.197528,0.831143,2.57387
721723,2025-01-31 18:04:21.692,0.212389,0.852775,2.46331
721724,2025-01-31 18:04:21.698,0.197369,0.845181,2.2748
721725,2025-01-31 18:04:21.703,0.179607,0.862149,1.99614
721726,2025-01-31 18:04:21.703,0.179607,0.862149,1.99614
721727,2025-01-31 18:04:21.707,0.183749,0.88217,1.68269
721728,2025-01-31 18:04:21.712,0.212682,0.896356,1.29202
721729,2025-01-31 18:04:21.716,0.235233,0.884887,0.921864
