id,timestamp,x,y,z
1354411,2025-02-25 16:57:59.231,-0.0379906,0.0610921,-0.000967979
1354410,2025-02-25 16:57:59.231,-0.0379906,0.0610921,-0.000967979
1354412,2025-02-25 16:57:59.231,-0.0379906,0.0610921,-0.000967979
1354413,2025-02-25 16:57:59.236,-0.0371021,0.0520008,-0.0113544
1354414,2025-02-25 16:57:59.237,-0.0371021,0.0520008,-0.0113544
1354415,2025-02-25 16:57:59.241,-0.0206799,0.0283258,-0.00177574
1354416,2025-02-25 16:57:59.241,-0.0206799,0.0283258,-0.00177574
1354417,2025-02-25 16:57:59.246,-0.00890358,-0.00469542,0.0154982
1354418,2025-02-25 16:57:59.246,-0.00890358,-0.00469542,0.0154982
1354419,2025-02-25 16:57:59.25,-0.00264838,-0.0294905,0.0541439
1354420,2025-02-25 16:57:59.25,-0.00264838,-0.0294905,0.0541439
1354421,2025-02-25 16:57:59.255,-0.014189,-0.050004,0.0776892
1354422,2025-02-25 16:57:59.255,-0.014189,-0.050004,0.0776892
1354423,2025-02-25 16:57:59.26,-0.0288452,-0.0605319,0.120263
1354424,2025-02-25 16:57:59.26,-0.0288452,-0.0605319,0.120263
1354426,2025-02-25 16:57:59.264,-0.0451559,-0.0685215,0.162841
1354425,2025-02-25 16:57:59.264,-0.0451559,-0.0685215,0.162841
1354427,2025-02-25 16:57:59.269,-0.0279664,-0.0809762,0.198511
1354428,2025-02-25 16:57:59.269,-0.0279664,-0.0809762,0.198511
1354429,2025-02-25 16:57:59.274,-0.0188025,-0.110563,0.212403
1354430,2025-02-25 16:57:59.274,-0.0188025,-0.110563,0.212403
1354431,2025-02-25 16:57:59.279,0.01657,-0.118526,0.213306
1354432,2025-02-25 16:57:59.283,0.0190932,-0.117131,0.23302
1354433,2025-02-25 16:57:59.283,0.0190932,-0.117131,0.23302
1354435,2025-02-25 16:57:59.288,0.0094706,-0.112377,0.247731
1354434,2025-02-25 16:57:59.289,0.0094706,-0.112377,0.247731
1354436,2025-02-25 16:57:59.293,0.00405061,-0.0950227,0.2121
1354437,2025-02-25 16:57:59.297,0.00634358,-0.0783038,0.192715
1354438,2025-02-25 16:57:59.297,0.00634358,-0.0783038,0.192715
1354439,2025-02-25 16:57:59.302,-0.0039662,-0.0516562,0.156444
1354440,2025-02-25 16:57:59.302,-0.0039662,-0.0516562,0.156444
1354441,2025-02-25 16:57:59.302,-0.0039662,-0.0516562,0.156444
1354442,2025-02-25 16:57:59.307,-0.00217948,-0.0432177,0.133989
1354443,2025-02-25 16:57:59.307,-0.00217948,-0.0432177,0.133989
1354444,2025-02-25 16:57:59.312,0.00991321,-0.00343108,0.120314
1354445,2025-02-25 16:57:59.312,0.00991321,-0.00343108,0.120314
1354446,2025-02-25 16:57:59.316,0.0520721,0.00839257,0.116415
1354447,2025-02-25 16:57:59.316,0.0520721,0.00839257,0.116415
1354448,2025-02-25 16:57:59.321,0.0545433,0.0303693,0.0927954
1354449,2025-02-25 16:57:59.321,0.0545433,0.0303693,0.0927954
1354450,2025-02-25 16:57:59.326,0.0650224,0.0564446,0.0674238
1354451,2025-02-25 16:57:59.326,0.0650224,0.0564446,0.0674238
1354452,2025-02-25 16:57:59.33,0.0635215,0.073585,0.0754814
1354453,2025-02-25 16:57:59.33,0.0635215,0.073585,0.0754814
1354454,2025-02-25 16:57:59.33,0.0635215,0.073585,0.0754814
1354455,2025-02-25 16:57:59.335,0.0666309,0.0656102,0.0553217
1354456,2025-02-25 16:57:59.34,0.0883185,0.0657339,0.0333309
1354457,2025-02-25 16:57:59.345,0.115456,0.0646005,0.0188618
1354458,2025-02-25 16:57:59.349,0.116209,0.0854568,0.0106468
1354459,2025-02-25 16:57:59.354,0.114739,0.0869017,-0.013772
1354460,2025-02-25 16:57:59.359,0.102839,0.1093,-0.0188894
1354461,2025-02-25 16:57:59.363,0.0841203,0.102975,-0.0532503
1354462,2025-02-25 16:57:59.368,0.073927,0.0954201,-0.0599184
1354463,2025-02-25 16:57:59.373,0.0708469,0.0902035,-0.0864239
1354464,2025-02-25 16:57:59.377,0.0734391,0.0780678,-0.111324
1354465,2025-02-25 16:57:59.382,0.0932809,0.0592043,-0.109979
1354466,2025-02-25 16:57:59.387,0.122992,0.0372484,-0.0993052
1354467,2025-02-25 16:57:59.392,0.136652,0.0535028,-0.0818243
1354468,2025-02-25 16:57:59.396,0.138319,0.0555456,-0.0623417
1354469,2025-02-25 16:57:59.401,0.147442,0.0671172,-0.0549974
1354470,2025-02-25 16:57:59.406,0.155917,0.0480058,-0.0572309
1354471,2025-02-25 16:57:59.41,0.161587,0.028167,-0.0594759
1354472,2025-02-25 16:57:59.415,0.147751,0.0204704,-0.0888166
1354473,2025-02-25 16:57:59.42,0.131071,0.0166829,-0.0942173
1354474,2025-02-25 16:57:59.425,0.0973022,0.00846052,-0.11259
1354475,2025-02-25 16:57:59.429,0.0582244,-0.0076046,-0.166179
1354476,2025-02-25 16:57:59.439,-0.0279696,0.0122225,-0.20465
1354477,2025-02-25 16:57:59.439,-0.0279696,0.0122225,-0.20465
1354478,2025-02-25 16:57:59.443,-0.0626662,0.0230274,-0.220734
1354479,2025-02-25 16:57:59.448,-0.0787303,0.0162287,-0.200119
1354480,2025-02-25 16:57:59.453,-0.073901,0.0144956,-0.192887
1354481,2025-02-25 16:57:59.458,-0.0767888,0.00122857,-0.166969
1354482,2025-02-25 16:57:59.462,-0.037409,0.00118589,-0.129634
1354483,2025-02-25 16:57:59.467,-0.00231388,0.0035069,-0.0774593
